Team,Sex,Age,NOC,Games,Year,Sport,Event,Medal,AgeGroup,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Historical_Medals,Total_Medal_Value,Cluster,Sponsorship_Prediction
Indonesia-1,M,29.0,INA,2016 Summer,2016,Badminton,Badminton Mixed Doubles,Gold,25-29,4.0,6.0,4.0,14.0,28.0,0,Low Probability
Iran,M,26.0,IRI,2016 Summer,2016,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,25-29,18.0,21.0,29.0,68.0,125.0,0,Low Probability
Iraq,M,25.556898357297374,IRQ,1960 Summer,1960,Weightlifting,Weightlifting Men's Lightweight,Bronze,25-29,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Ireland,M,21.0,IRL,2008 Summer,2008,Boxing,Boxing Men's Light-Flyweight,Bronze,20-24,9.0,13.0,13.0,35.0,66.0,0,Low Probability
Ireland-2,M,21.0,GBR,1908 Summer,1908,Hockey,Hockey Men's Hockey,Silver,20-24,0.0,12.0,0.0,12.0,24.0,0,Low Probability
Ireland-3,M,33.0,GBR,1908 Summer,1908,Polo,Polo Men's Polo,Silver,30-34,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Irene,M,36.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 8 metres,Gold,35-39,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Israel,F,25.0,ISR,1992 Summer,1992,Judo,Judo Women's Half-Middleweight,Silver,25-29,1.0,1.0,7.0,9.0,12.0,0,Low Probability
Italia,M,32.0,ITA,1936 Summer,1936,Sailing,Sailing Mixed 8 metres,Gold,30-34,6.0,0.0,0.0,6.0,18.0,0,Low Probability
Italy,M,21.0,ITA,2016 Summer,2016,Rowing,Rowing Men's Coxless Pairs,Bronze,20-24,535.0,508.0,484.0,1527.0,3105.0,2,High Probability
Italy-1,M,21.0,ITA,1968 Winter,1968,Bobsleigh,Bobsleigh Men's Four,Gold,20-24,14.0,8.0,14.0,36.0,72.0,0,Low Probability
Italy-2,M,23.0,ITA,1956 Winter,1956,Bobsleigh,Bobsleigh Men's Two,Silver,20-24,0.0,10.0,4.0,14.0,24.0,0,Low Probability
